property_id, location_zip, seating_type, clue_small_area, trading_name, x_coordinate, location_city, location_state, number_of_seats, ogc_fid, industry_anzsic4_description, y_coordinate, census_year, street_address
"104449",null,"Seats - Outdoor","Carlton","Roy's Cafe","144.9656241",null,null,"21",4,"Cafes and Restaurants","-37.80080042","2017","117 Grattan Street"
"110095",null,"Seats - Outdoor","Melbourne (CBD)","Zuppa","144.9578132",null,null,"6",22,"Takeaway Food Services","-37.81636534","2017","555 Bourke Street"
"105726",null,"Seats - Indoor","Melbourne (CBD)","Donoghue's ","144.9560169",null,null,"50",29,"Cafes and Restaurants","-37.8134766","2017","550 Lonsdale Street"
"103176",null,"Seats - Indoor","Melbourne (CBD)","Subway","144.9634979",null,null,"16",39,"Cafes and Restaurants","-37.81592157","2017","97-103 Elizabeth Street"
"110688",null,"Seats - Indoor","Melbourne (CBD)","Funk Fish","144.9572395",null,null,"24",58,"Takeaway Food Services","-37.80745984","2017","65-81 Victoria Street"
"592048",null,"Seats - Outdoor","Melbourne (CBD)","La Di Da","144.9556244",null,null,"80",80,"Cafes and Restaurants","-37.81551353","2017","188-202 King Street"
"110326",null,"Seats - Outdoor","Southbank","Hopscotch","144.9633758",null,null,"200",100,"Cafes and Restaurants","-37.82092509","2017","4 Riverside Quay"
"110669",null,"Seats - Indoor","Melbourne (CBD)","Viet St","144.9629844",null,null,"5",128,"Takeaway Food Services","-37.81570426","2017","353-359 Little Collins Street"
"103704",null,"Seats - Outdoor","Carlton","Yo-Chi","144.9680207",null,null,"24",131,"Cafes and Restaurants","-37.79844782","2017","194-196 Faraday Street"
"599505",null,"Seats - Indoor","Docklands","Origami Sushi & Noodles ","144.947217",null,null,"12",171,"Cafes and Restaurants","-37.81817241","2017","744-770 Bourke Street"
"111456",null,"Seats - Outdoor","East Melbourne","The Pavilion","144.9804557",null,null,"86",181,"Cafes and Restaurants","-37.81296163","2017"," Wellington Parade"
"108973",null,"Seats - Indoor","Docklands","Sumo Salad","144.9523393",null,null,"12",189,"Takeaway Food Services","-37.81815358","2017","85-161 Spencer Street"
"103997",null,"Seats - Outdoor","Melbourne (CBD)","Riverside Deli & Coffee House","144.9582721",null,null,"12",192,"Cafes and Restaurants","-37.81974184","2017","472-482 Flinders Street"
"105606",null,"Seats - Indoor","North Melbourne","Di Bella Coffee","144.9505945",null,null,"60",195,"Cafes and Restaurants","-37.80447359","2017","19-21 Leveson Street"
"102034",null,"Seats - Indoor","North Melbourne","Yeonga","144.956923",null,null,"96",198,"Cafes and Restaurants","-37.80560474","2017","1-3 Cobden Street"
"104660",null,"Seats - Outdoor","Melbourne (CBD)","Amigos Hardware Lane","144.9608667",null,null,"44",200,"Cafes and Restaurants","-37.8131434","2017","75-77 Hardware Lane"
"103809",null,"Seats - Outdoor","North Melbourne","Turf Club Hotel ","144.9563792",null,null,"64",243,"Pubs, Taverns and Bars","-37.80130394","2017","1-3 Flemington Road"
"603923",null,"Seats - Indoor","Melbourne (CBD)","Degani At Urban Workshop","144.9707325",null,null,"36",246,"Cafes and Restaurants","-37.8091842","2017","32-54 Lonsdale Street"
"109209",null,"Seats - Indoor","Parkville","University High School Canteen","144.9560633",null,null,"100",248,"Cafes and Restaurants","-37.79746671","2017","77 Story Street"
"104014",null,"Seats - Indoor","Melbourne (CBD)","Alice Nevins","144.9665517",null,null,"10",262,"Cafes and Restaurants","-37.81724878","2017","228-236 Flinders Street"
"109390",null,"Seats - Outdoor","Melbourne (CBD)","Goldilocks","144.9651474",null,null,"40",268,"Pubs, Taverns and Bars","-37.81181063","2017","264-266 Swanston Street"
"588500",null,"Seats - Outdoor","Melbourne (CBD)","Blu Point Caffe","144.9664575",null,null,"26",276,"Cafes and Restaurants","-37.80822377","2017","336 Russell Street"
"107975",null,"Seats - Indoor","North Melbourne","Elceed Cafe","144.9471385",null,null,"24",281,"Cafes and Restaurants","-37.80252643","2017","610 Queensberry Street"
"104010",null,"Seats - Indoor","Melbourne (CBD)","Sea Salt","144.9656264",null,null,"26",298,"Cafes and Restaurants","-37.81760781","2017","256-268 Flinders Street"
"104450",null,"Seats - Indoor","Carlton","Domino's Pizza","144.9651037",null,null,"15",300,"Takeaway Food Services","-37.80077102","2017","251-257 Cardigan Street"
"106559",null,"Seats - Indoor","Melbourne (CBD)","Meyers Place Bar","144.9723505",null,null,"63",312,"Pubs, Taverns and Bars","-37.81207814","2017","20 Meyers Place"
"101172",null,"Seats - Outdoor","Melbourne (CBD)","The Attic, Artisan Bread And Cafe","144.9561073",null,null,"6",313,"Cafes and Restaurants","-37.81571393","2017","578-606 Bourke Street"
