geography_name, rai_cityadjusted_total_2017_q1, rai_cityadjusted_total_2018_q4, rai_cityadjusted_total_2018_q3, rai_cityadjusted_total_2020_q1, rai_cityadjusted_total_2019_q4, rai_cityadjusted_total_2020_q3, rai_cityadjusted_total_2020_q2, rai_cityadjusted_total_2020_q4, city, unique_id, rai_cityadjusted_total_2019_q3, rai_cityadjusted_total_2017_q4, rai_cityadjusted_total_2019_q2, rai_cityadjusted_total_2017_q3, rai_cityadjusted_total_2019_q1, rai_cityadjusted_total_2017_q2, rai_cityadjusted_total_2018_q1, rai_cityadjusted_total_2018_q2, rai_cityadjusted_total_2021_q2, rai_cityadjusted_total_2021_q1
"3111",115.3846,120.7513,103.8462,110.1662,109.6154,128.2051,121.7949,133.3926,"Greater Melbourne",1407,109.6154,105.9655,119.1472,118.007,115.3846,115.3846,120.7513,104.8951,113.1222,113.1222
"3113",null,null,78.37446,91.34615,null,null,89.1182,96.96186,"Greater Melbourne",1408,91.34615,103.8462,109.6154,null,85.1198,105.9655,89.52255,86.53846,115.3846,90.49774
"3000",110.4746,103.8462,104.8951,109.6154,109.6154,144.2308,137.0192,164.8352,"Greater Melbourne",1310,112.0812,105.9655,109.6154,108.1731,105.9655,103.8462,108.3989,105.9655,164.8352,160.2564
"3027",123.6264,120.7513,123.6264,128.9593,130.4945,142.4501,130.4945,135.7466,"Greater Melbourne",1332,127.4597,120.7513,127.4597,123.6264,123.6264,123.6264,120.7513,120.7513,137.3626,140.7129
"3028",157.3427,146.2622,148.3516,152.2436,152.2436,160.2564,156.5934,164.8352,"Greater Melbourne",1333,152.2436,148.3516,152.2436,148.3516,148.3516,152.7149,148.3516,146.2622,164.8352,167.2241
"3033",129.8077,123.6264,122.1719,121.7949,125.9947,128.2051,128.9593,128.2051,"Greater Melbourne",1338,124.5629,126.6417,121.7949,125.1158,115.3846,129.8077,118.007,122.1719,142.4501,131.1189
"3034",129.8077,123.6264,125.1158,130.4945,130.4945,132.626,138.7537,144.2308,"Greater Melbourne",1339,137.0192,129.8077,127.4597,129.8077,123.6264,133.1361,129.8077,123.6264,144.2308,136.5498
"3036",129.8077,123.6264,null,132.0667,135.3276,131.1189,137.0192,144.2308,"Greater Melbourne",1340,129.7223,118.007,122.4753,133.995,123.6264,139.3908,108.1731,115.3846,138.1852,137.3626
"3002",108.7394,109.8901,105.9655,101.4957,99.65035,121.4575,110.7226,128.2051,"Greater Melbourne",1311,94.49602,102.3115,109.6154,115.3846,103.8462,107.0579,102.818,108.1731,121.4575,128.2051
"3003",120.7513,118.007,108.1731,107.4661,109.6154,144.2308,121.7949,152.0219,"Greater Melbourne",1312,118.5031,108.1731,110.7226,116.6811,112.8763,115.3846,108.1731,112.8763,160.2564,153.8462
"3004",97.96807,99.85207,126.6417,103.4107,105.3994,130.3781,111.8524,135.7466,"Greater Melbourne",1313,107.4661,99.85207,99.65035,103.8462,103.8462,102.818,101.81,97.96807,140.7129,137.3626
"3005",null,null,null,null,null,null,null,null,"Greater Melbourne",1314,null,null,null,null,null,null,null,null,null,null
"3006",96.15385,94.40559,94.40559,99.65035,99.65035,144.2308,121.7949,146.0565,"Greater Melbourne",1315,97.00477,97.96807,99.65035,94.40559,92.71978,96.15385,94.40559,96.15385,144.2308,144.2308
"3008",97.96807,99.85207,88.00522,95.31773,97.87088,135.7466,105.3994,144.2308,"Greater Melbourne",1316,96.15385,96.15385,91.34615,92.71978,86.53846,96.15385,94.40559,92.71978,144.2308,144.2308
"3010",null,null,null,null,null,null,null,null,"Greater Melbourne",1317,null,null,null,null,null,null,null,null,null,null
"3011",138.4615,133.1361,131.4508,140.5325,137.0192,151.8219,140.5325,151.8219,"Greater Melbourne",1318,133.6773,133.1361,144.2308,140.3326,136.6397,136.6397,138.4615,129.8077,163.6661,151.8219
"3013",108.7394,108.1731,108.1731,102.9252,105.3994,122.7496,109.6154,119.5695,"Greater Melbourne",1320,105.3994,110.4746,109.6154,105.9655,103.8462,108.1731,110.4746,103.8462,117.7394,115.3846
"3012",140.3326,133.995,133.1361,132.0667,137.0192,147.929,140.5325,144.2308,"Greater Melbourne",1319,130.4945,136.6397,138.7537,136.6397,130.6241,136.6397,136.6397,136.6397,151.6224,144.2308
"3018",134.8651,129.8077,129.6456,121.7949,119.1472,144.2308,137.881,144.2308,"Greater Melbourne",1323,130.4945,118.007,128.2051,137.5446,129.8077,129.8077,122.1719,129.8077,131.1189,128.2051
